IP:PORT, LOSS, DELAY
162.159.204.111:1701,0.00%,208 ms
162.159.204.126:1701,0.00%,212 ms
162.159.204.28:1701,0.00%,212 ms
162.159.204.22:1701,0.00%,213 ms
162.159.204.196:1701,0.00%,220 ms
162.159.204.220:1701,0.00%,222 ms
162.159.204.110:1701,0.00%,225 ms
162.159.204.124:1701,0.00%,228 ms
162.159.204.72:1701,0.00%,232 ms
162.159.204.186:1701,0.00%,233 ms
162.159.204.239:1701,0.00%,245 ms
162.159.204.131:1701,0.00%,248 ms
162.159.193.214:890,100.00%,1000 ms
162.159.193.119:1701,100.00%,1000 ms
188.114.99.154:1701,100.00%,1000 ms
188.114.98.16:890,100.00%,1000 ms
188.114.98.141:890,100.00%,1000 ms
188.114.97.203:890,100.00%,1000 ms
162.159.195.88:890,100.00%,1000 ms
162.159.192.200:1701,100.00%,1000 ms
162.159.193.214:1701,100.00%,1000 ms
162.159.195.81:890,100.00%,1000 ms
188.114.99.74:890,100.00%,1000 ms
162.159.192.195:1701,100.00%,1000 ms
188.114.98.117:890,100.00%,1000 ms
162.159.192.69:1701,100.00%,1000 ms
162.159.204.196:890,100.00%,1000 ms
188.114.98.134:1701,100.00%,1000 ms
162.159.192.69:890,100.00%,1000 ms
162.159.192.68:890,100.00%,1000 ms
188.114.99.66:890,100.00%,1000 ms
188.114.99.44:1701,100.00%,1000 ms
188.114.98.141:1701,100.00%,1000 ms
162.159.193.123:1701,100.00%,1000 ms
162.159.193.15:1701,100.00%,1000 ms
162.159.195.88:1701,100.00%,1000 ms
188.114.98.144:1701,100.00%,1000 ms
162.159.193.169:1701,100.00%,1000 ms
188.114.96.231:890,100.00%,1000 ms
162.159.193.193:890,100.00%,1000 ms
162.159.195.23:890,100.00%,1000 ms
188.114.99.190:1701,100.00%,1000 ms
162.159.195.34:1701,100.00%,1000 ms
188.114.96.49:1701,100.00%,1000 ms
162.159.192.68:1701,100.00%,1000 ms
162.159.192.195:890,100.00%,1000 ms
188.114.97.15:890,100.00%,1000 ms
188.114.96.104:890,100.00%,1000 ms
188.114.99.39:890,100.00%,1000 ms
162.159.192.103:890,100.00%,1000 ms
188.114.97.61:1701,100.00%,1000 ms
188.114.97.203:1701,100.00%,1000 ms
188.114.99.230:890,100.00%,1000 ms
162.159.204.124:890,100.00%,1000 ms
188.114.96.49:890,100.00%,1000 ms
162.159.204.110:890,100.00%,1000 ms
188.114.99.190:890,100.00%,1000 ms
188.114.96.235:890,100.00%,1000 ms
188.114.99.66:1701,100.00%,1000 ms
188.114.96.126:890,100.00%,1000 ms
188.114.97.115:1701,100.00%,1000 ms
188.114.96.177:890,100.00%,1000 ms
188.114.96.42:1701,100.00%,1000 ms
188.114.99.154:890,100.00%,1000 ms
188.114.96.122:890,100.00%,1000 ms
188.114.97.72:890,100.00%,1000 ms
162.159.193.171:1701,100.00%,1000 ms
162.159.193.44:1701,100.00%,1000 ms
188.114.96.177:1701,100.00%,1000 ms
188.114.97.179:890,100.00%,1000 ms
162.159.204.126:890,100.00%,1000 ms
162.159.193.82:1701,100.00%,1000 ms
188.114.98.156:890,100.00%,1000 ms
162.159.204.72:890,100.00%,1000 ms
162.159.195.114:890,100.00%,1000 ms
162.159.192.65:1701,100.00%,1000 ms
162.159.193.224:1701,100.00%,1000 ms
188.114.97.72:1701,100.00%,1000 ms
162.159.193.44:890,100.00%,1000 ms
188.114.98.144:890,100.00%,1000 ms
188.114.99.115:890,100.00%,1000 ms
188.114.98.16:1701,100.00%,1000 ms
188.114.98.97:890,100.00%,1000 ms
162.159.204.131:890,100.00%,1000 ms
188.114.96.243:890,100.00%,1000 ms
188.114.96.104:1701,100.00%,1000 ms
162.159.195.114:1701,100.00%,1000 ms
188.114.98.115:1701,100.00%,1000 ms
188.114.98.115:890,100.00%,1000 ms
188.114.98.97:1701,100.00%,1000 ms
162.159.204.28:890,100.00%,1000 ms
162.159.192.235:1701,100.00%,1000 ms
162.159.195.81:1701,100.00%,1000 ms
188.114.97.78:1701,100.00%,1000 ms
162.159.192.25:1701,100.00%,1000 ms
188.114.98.33:1701,100.00%,1000 ms
188.114.97.0:1701,100.00%,1000 ms
162.159.192.20:890,100.00%,1000 ms
188.114.97.192:1701,100.00%,1000 ms
188.114.99.234:890,100.00%,1000 ms
188.114.97.61:890,100.00%,1000 ms
162.159.193.245:890,100.00%,1000 ms
188.114.99.74:1701,100.00%,1000 ms
188.114.96.231:1701,100.00%,1000 ms
162.159.195.206:1701,100.00%,1000 ms
188.114.97.179:1701,100.00%,1000 ms
162.159.195.243:1701,100.00%,1000 ms
162.159.193.224:890,100.00%,1000 ms
188.114.97.48:890,100.00%,1000 ms
