IP:PORT, LOSS, DELAY
188.114.96.120:4198,100.00%,1000 ms
162.159.192.28:4198,100.00%,1000 ms
188.114.98.23:4198,100.00%,1000 ms
188.114.96.172:4198,100.00%,1000 ms
162.159.192.221:4198,100.00%,1000 ms
188.114.99.83:7152,100.00%,1000 ms
162.159.193.114:7152,100.00%,1000 ms
162.159.192.148:7152,100.00%,1000 ms
162.159.192.125:7152,100.00%,1000 ms
162.159.204.122:4198,100.00%,1000 ms
188.114.99.247:7152,100.00%,1000 ms
188.114.97.118:4198,100.00%,1000 ms
162.159.195.114:4198,100.00%,1000 ms
188.114.96.38:7152,100.00%,1000 ms
162.159.192.7:4198,100.00%,1000 ms
188.114.98.72:4198,100.00%,1000 ms
162.159.192.89:7152,100.00%,1000 ms
188.114.96.148:7152,100.00%,1000 ms
188.114.96.73:4198,100.00%,1000 ms
188.114.99.83:4198,100.00%,1000 ms
162.159.193.93:7152,100.00%,1000 ms
162.159.195.169:4198,100.00%,1000 ms
188.114.96.200:7152,100.00%,1000 ms
162.159.195.15:7152,100.00%,1000 ms
162.159.193.7:4198,100.00%,1000 ms
162.159.193.142:4198,100.00%,1000 ms
162.159.192.20:4198,100.00%,1000 ms
188.114.96.73:7152,100.00%,1000 ms
188.114.98.220:7152,100.00%,1000 ms
162.159.192.28:7152,100.00%,1000 ms
162.159.193.183:4198,100.00%,1000 ms
188.114.96.229:4198,100.00%,1000 ms
188.114.96.120:7152,100.00%,1000 ms
162.159.195.73:4198,100.00%,1000 ms
162.159.195.118:7152,100.00%,1000 ms
162.159.193.183:7152,100.00%,1000 ms
162.159.195.118:4198,100.00%,1000 ms
188.114.97.127:7152,100.00%,1000 ms
188.114.99.247:4198,100.00%,1000 ms
162.159.192.141:4198,100.00%,1000 ms
162.159.193.11:7152,100.00%,1000 ms
162.159.192.88:7152,100.00%,1000 ms
162.159.193.7:7152,100.00%,1000 ms
162.159.192.221:7152,100.00%,1000 ms
188.114.96.38:4198,100.00%,1000 ms
188.114.97.211:4198,100.00%,1000 ms
188.114.96.250:4198,100.00%,1000 ms
162.159.195.166:7152,100.00%,1000 ms
162.159.193.113:4198,100.00%,1000 ms
188.114.99.136:7152,100.00%,1000 ms
188.114.99.35:4198,100.00%,1000 ms
188.114.98.233:7152,100.00%,1000 ms
188.114.96.163:4198,100.00%,1000 ms
162.159.195.117:7152,100.00%,1000 ms
162.159.192.154:4198,100.00%,1000 ms
162.159.195.166:4198,100.00%,1000 ms
162.159.193.51:7152,100.00%,1000 ms
162.159.204.122:7152,100.00%,1000 ms
162.159.193.69:4198,100.00%,1000 ms
162.159.195.210:4198,100.00%,1000 ms
162.159.193.142:7152,100.00%,1000 ms
162.159.192.89:4198,100.00%,1000 ms
162.159.204.85:4198,100.00%,1000 ms
188.114.98.179:4198,100.00%,1000 ms
162.159.192.88:4198,100.00%,1000 ms
162.159.192.141:7152,100.00%,1000 ms
162.159.193.93:4198,100.00%,1000 ms
162.159.192.125:4198,100.00%,1000 ms
162.159.204.89:4198,100.00%,1000 ms
188.114.97.118:7152,100.00%,1000 ms
162.159.192.112:7152,100.00%,1000 ms
188.114.98.220:4198,100.00%,1000 ms
162.159.195.59:7152,100.00%,1000 ms
188.114.96.200:4198,100.00%,1000 ms
188.114.99.254:7152,100.00%,1000 ms
162.159.204.246:4198,100.00%,1000 ms
188.114.98.33:4198,100.00%,1000 ms
188.114.97.241:7152,100.00%,1000 ms
162.159.204.246:7152,100.00%,1000 ms
162.159.195.92:7152,100.00%,1000 ms
162.159.195.210:7152,100.00%,1000 ms
162.159.193.48:4198,100.00%,1000 ms
188.114.98.18:7152,100.00%,1000 ms
162.159.204.40:4198,100.00%,1000 ms
162.159.192.7:7152,100.00%,1000 ms
